"Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"Hālatunnabi","

        Hālatunnabi is a popular text in the Muslim community of the Silcar region. According to the poet, the text in manuscript form was completed in 1262 Bengali Era (1853 Common Era). It narrates, in 'Payār' and 'Tripodi' verse, the story of Creation and writes in detail the life of the Prophet Muhammad and his ascension to heaven. It gives a vivid description of hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows a concern for accuracy and refers to the Arabic and Persian texts on which he has based his narration. The original volume is a printed edition. It has no cover and is missing pages 121 to 124, 183 to 184 and 211 to 218. The physical book measures 122mm by 194mm, although the lower edges of the book have been cut unevenly so the actual length of the book is difficult to measure. The pages are stitched together by thread. The main text appears on pages 49-279 and this is all that has been copied, along with a table of contents.

                  
            
              
              View images from this file (218)
            
          
              ","EAP071/1/1","218 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only. Material is not to be reproduced without the written permission of Abdul Latiph Laskar."
"Hālatunnabi","

        Hālatunnabi is a popular text in the Muslim community of the region of Śilcar. According to the poet, the text in manuscript form was completed in 1262 Bengali Era (1853 Common Era). It narrates, in 'Payār' and 'Tripodi' verse, the story of Creation and writes in detail the life of the Prophet Muhammad and his ascension to heaven. It gives a vivid description of hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows a concern for accuracy and refers to the Arabic and Persian texts on which the narration is based. The original volume is a printed edition, undated. It has no cover page. The physical book measures 900mm by 142mm. The main text is found on pages 1-272 and this is all that has been copied, along with the flyleaf at the beginning of the book.

                  
            
              
              View images from this file (278)
            
          
              ","EAP071/1/2","278 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only. Material is not to be reproduced without the written permission of Abdul Latiph Laskar."
"Khabar NiśānKhabar Niśān","

        The text is a work on religion and spirituality, dealing with religious theories and spiritualism in the form of songs. Profound thoughts are expressed in simple terms and reflect Sufi philosophy, often through the imagery of Rādhā-Krisna. The songs describe the concept of the reunion of the lover and the beloved, the union of the disciple with Āllāh/God. The author, Bhélā Śāh, was a resident of Sylhét. The original volume is a printed copy by Phaiyāj Ali. It has no cover page and no date. The physical book measures 117mm by 197mm. The main text appears on pages 1-84 and this is all that has been copied.

                  
            
              
              View images from this file (84)
            
          
              ","EAP071/1/3","84 Tiff images","Book","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only. Material is not to be reproduced without the written permission of Abdul Latiph Laskar."
"Hālatunnabi","

        Hālatunnabi is a popular text in the Muslim community of the region of Silcar. According to the poet, the text in manuscript form was completed in 1262 Bengali Era (1853 Common Era). It narrates in 'Payār' and 'Tripodi' verse the story of creation and writes in detail the life of the Prophet Muhammad and his ascension to heaven. It gives a vivid description of hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows a concern for accuracy and refers to the Arabic and Persian texts on which the narration is based. The original volume is a printed edition. It is missing the title page. The physical book measures 125mm x 215mm. The main text is found on pages 25-264 and this is all that has been copied.

                  
            
              
              View images from this file (243)
            
          
              ","EAP071/2/1","243 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only. Material is not to be reproduced without the written permission of Ābid Rājā Mājumdār."
"Śāhidé KārbālāŚāhidé Kārbālā","

        This popular text narrates the exploits of Hamifā, particularly at the Battle of Kārbālā. The original volume is a printed edition. The text is fragmented. The title page and pages 161-166 are missing. The physcial book measures 123mm x 203mm. The main text is found on pages 13-449 and this is all that has been copied.

                  
            
              
              View images from this file (430)
            
          
              ","EAP071/2/2","430 Tiff images","Book","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only. Material is not to be reproduced without the written permission of Ābid Rājā Mājumdār."
"Śitalāng Phakirer Rāg","

        This text contains songs about Sufism and its development in the region of Kājidahar, Sonāi. The author of the songs is Śitalāng Śāh who changed his name from Muhhamad Salimullāh after renouncing the world and becoming a Phakir (a wanderer). It is believed that Śitalāng Śāh was born sometime between 1793 and 1799 and lived for more than ninety years. The original volume was handwritten and undated. The physical book measures 186mm x 280mm. The main text is found on pages 5-89 and this is all that has been copied. The original volume is missing pages 11, 30-35, 42-47, 52, 57 and 64-73.

                  
            
              
              View images from this file (58)
            
          
              ","EAP071/3/1","58 TIFF images","Book","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Jamnāmā","

        ""Jam"" is a Persian word meaning ""battle"" or ""war"" and the Jamnāmā is a story of wars and battles. The volume contains a narrative poem and Jāri songs. The poem recounts the battle of Kārbālā which took place in Muharram 10, in the year 61 of the Islamic calendar (680 CE), fought between the grandsons of the Prophet Muhammad. The Jāri songs are lamentations. They have their origins in the 17th century when poetry about the tragic stories from Karbala started being written. Both the story and the songs remain very popular and are ritually recited and sung on the night of the 10th day of Muharram when the community gathers together for this purpose. The original printed volume is undated and the author is unknown. The title page is missing. It measures 204mm x 123mm. The main text runs from pages 10-452, and this is all that has been copied.

                  
            
              
              View images from this file (443)
            
          
              ","EAP071/4/1","443 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Hālatunnabi","

        Hālatunnabi is a popular text in the Muslim community. According to the author (who is unknown because the title page is missing), the story was completed in 1262 Bengali Era (1853 CE). It is narrated in 'payār' and 'tripoli' verses and explains the story of Creation. It also describes in detail the life of the Prophet Muhammad and his ascension ot heaven; and includes a vivid description of Hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the author refers to his Arabic and Persian sources in a very accurate manner in order to explain his story. The original printed volume is incomplete and undated. It measures 217mm x 132mm. The main text runs from pages 21 to 246, and this is all that has been copied along with two pages from both the front and back of the book showing the inside covers and the volume's stitching.

                  
            
              
              View images from this file (230)
            
          
              ","EAP071/4/2","230 Tiff images","Book","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Surmān Āli Khaliphār Gān","

        Surmān Āli Khaliphā wrote down and copied a number of songs into this volume. It was given to Āmirul Islām Laskar who considered Surmān Āli to be his 'dharmaguru', or spiritual guide. The original volume is hand written in red and blue ink and is undated. The page direction of the text is from left to right, unlike the usual Nāgri style of writing. It measures 191mm x 156mm. The main text runs from pages 1-171, and this is all that has been copied.

                  
            
              
              View images from this file (171)
            
          
              ","EAP071/4/3","171 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Puthi Daphéul HujatPuthi Daphéul Hujat","

        The title of this volume means 'the end/solution of a discourse/debate'. The volume is a religious text which follows the śariat in describing forty macalā or religous propositions. The intricate religious discourse is presented in a simple way for the benefit of ordinary people. At the end of the text the author, Ch[S]ādék Āli, introduces himself and names the text as 'Daphéul Hujat'. The original photocopied text is undated. The title page is missing and the volume measures 206mm x 110mm. The main text runs from pages 1-106, and this is all that has been copied.

                  
            
              
              View images from this file (106)
            
          
              ","EAP071/5/1","106 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Ebādaté MagajEbādaté Magaj","

        Ebādaté is a Persian word meaning 'service/devotion/worship'. Magaj[z] is an Arabic word representing 'brain'. The text is thus an intellectual discourse on Sufi philosophy. It is believed that the author was born in Āśādha (the third month of the Bengali calendar), 120 Bengali Era (approximately 1820 CE). The original photocopied text is undated; the original volume measures 190mm x 118mm. The title page is missing. The main text runs from pages 1 to 69, and this is all that has been copied along with a table of contents.

                  
            
              
              View images from this file (70)
            
          
              ","EAP071/5/2","70 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Tālib HuchanTālib Huchan","

        This volume contains a text on Sufi theology, written by Golām Huchan in 1549 CE. The acquired manuscript was copied by an anonymous person much later. It is one of the earliest texts written in Sylhét Nāgri script and shows how Sufi literature was introduced into the Śilcar region. The manuscript as we have it is fragmented. The front and end pages are missing from the volume. This digital copy has been made from a photocopy. The main text runs from pages 12-368, and this is all that has been copied. It measures 200mm x 12.3mm.

                  
            
              
              View images from this file (356)
            
          
              ","EAP071/5/3","356 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Bhédsār, 1st Edition""Bhédsār, 1st Edition""","

        Bhédsār is a book of religious songs which reflect on Sufi philosophy. It may have been written by Hajrat Sāhā Huchan Ālam, based on the thoughts of Saiyad Śah Hussain Ālam. The text was at some point revised and published by Srīyukta Jāji Ābdul Sāhéb; printed by Srī Mahammad Ābdul Gani, Srīhatta Bandar Bājar Islāmiā Press. The first version of the text as it appears in this volume was probably written in the 17th century. Some believe that Saiyad Śah Hussain Ālam was born in the15th century in Sylhét. Professor Āsāddar Āli places his date of birth sometime between 1500 and 1650 CE. The original volume is dated to 1907. It measures 203mm x 152mm. The digital copy here has been taken of a photocopy of the text. The main text is found on pages 1-78 and these are all that have been copied, with the title page.

                  
            
              
              View images from this file (79)
            
          
              ","EAP071/5/4","79 Tiff images","Book","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Bhabatarān Kabi Cārti Bāul Gān Saha, 1st Edition [1913]""Bhabatarān Kabi Cārti Bāul Gān Saha, 1st Edition [1913]""","

        The text of this volume emphasises the transience of human existence. It preaches that a person should concentrate on improving their life after death, and that this can be done by performing religious duties. The text includes a collection of four songs which touch on this theme. The name of the writer of the songs is given within each song as Abdul Karim. The author of the volume is Munsi Āhmad Āli Sāhéb. It was revised and published by Srīyukta Munsī Ābdul Karim Sāhéb and printed by SrīMam [Mahahmad] Ābdul Gani Srīhatta Islāmiā Press. The volume is dated to 1320 BE (1913 CE). Only 7 pages and the title page have been copied, from a photocopy of the original. The original volume measures 200mm x 110mm.

                  
            
              
              View images from this file (8)
            
          
              ","EAP071/5/5","8 Tiff images","Manuscript","File","Bengali","Syloti Nagri","1913","Access is for research purposes only"
"Khabar NiśānKhabar Niśān","

        The text is a work on religion and spirituality. It is in the form of songs that deal with religious theories and spiritualism. Profound thoughts are expressed in simple terms and reflect the Sufi philosophy often expressed through the imagery of Rādhā-Krisna. It describes the concept of the reunion of the lover and the beloved, the union of the disciple with Allah/God. The author, Bhélā Śāh Phakir, was a resident of Sylhét. The text has been hand-copied by Phaiyaj Āli and then photocopied. The digital copy here is of the photocopy. The photocopy is undated. The main text runs from pages 1-123, and these are the only pages that have been copied. The original volume measures 129mm x 216mm.

                  
            
              
              View images from this file (123)
            
          
              ","EAP071/5/6","123 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Khabar NiśānKhabar Niśān","

        The text is a work on religion and spirituality. It is in the form of songs that deal with religious theories and spiritualism. Profound thoughts are expressed in simple terms and reflect the Sufi philosophy often expressed through the imagery of Rādhā-Krisna. It describes the concept of the reunion of the lover and the beloved, the union of the disciple with Allah/God. The author, Bhélā Śāh Phakir, was a resident of Sylhét. The text has been hand-copied by Phaiyaj Āli then photocopied. The digital copy here is of the photocopy. The text is undated. The main text runs from pages 1-30, although 31 pages have been copied. The original volume measures 167mm x 207mm.

              ","EAP071/5/7","31 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
