"","Page Title","Description","Reference","Extent","Content Type","Level","Creation date","Legal","NA","NA"
"1","Lokadippa lokavvat‘ phrekyam [1986 (1348 Burmese Era)]","

        Digital images of Lokadippa lokavvat‘ phrekyam. Date(s): 1986 (1348 Burmese Era). Creator(s): Anonymous. Description: elucidation of the Vinaya; Vinaññ‘˝. Medium of original material: parabaik (accordion-folded paper manuscripts). Language: Pa’O.

              ","EAP104/1/1","1 file containing 143 TIFF images","Manuscript","File","English","Myanmar (burmese)","1986","Access is for research purposes only."
"2","Khandhīput‘ vinay‘ lakkhanaresvampa","

        Digital images of Khandhīput‘ vinay‘ lakkhanaresvampa. Date(s): unknown. Creator(s): Muiń‘″ Pyui″ Charāto‘ ’Arhań‘ Kavisāra. Description: elucidation of the Vinaya; Vinaññ‘˝. Medium of original material: parabaik (accordion-folded paper manuscripts). Language: Pa’O.

              ","EAP104/1/2","1 file containing 138 TIFF images","Manuscript","File","English","Myanmar (burmese)","1895-1986","Access is for research purposes only."
"3","Vinay‘ srovātakyam [1962 (1324 Burmese Era)]","

        Digital images of Vinay‘ srovātakyam. Date(s): 1962 (1324 Burmese Era). Creator(s): Muiń‘″ Pyui″ Charāto‘ ’Arhań‘ Kavisāra. Description: elucidation of the Vinaya; Vinaññ‘˝. Medium of original material: parabaik (accordion-folded paper manuscripts). Language: Pa’O.

              ","EAP104/1/3","1 file containing 131 TIFF images","Manuscript","File","English","Myanmar (burmese)","1962","Access is for research purposes only."
"4","Sīlañaposathakyam","

        Digital images of Sīlañaposathakyam. Date(s): unknown. Creator(s): Anonymous. Description: elucidation of the Vinaya; Vinaññ‘˝. Medium of original material: parabaik (accordion-folded paper manuscripts). Language: Pa’O.

              ","EAP104/1/4","1 file containing 91 TIFF images","Manuscript","File","English","Myanmar (burmese)","1895-1986","Access is for research purposes only."
"5","Visań‘ kyam [1956 (1318 Burmese Era)]","

        Digital images of Visań‘ kyam. Date(s): 1956 (1318 Burmese Era). Creator(s): Anonymous. Description: elucidation of the Abhidharma; ’Abhidhammā. Medium of original material: parabaik (accordion-folded paper manuscripts). Language: Pa’O.

              ","EAP104/1/5","1 file containing 134 TIFF images","Manuscript","File","English","Myanmar (burmese)","1956","Access is for research purposes only."
"6","Sussīlakyamkham","

        Digital images of Sussīlakyamkham. Date(s): unknown. Creator(s): Anonymous. Description: elucidation of the Vinaya; Vinaññ‘˝. Medium of original material: parabaik (accordion-folded paper manuscripts). Language: Pa’O.

              ","EAP104/1/6","1 file containing 139 TIFF images","Manuscript","File","English","Myanmar (burmese)","1895-1986","Access is for research purposes only."
"7","’Abhidhammāpathān‘","

        Digital images of ’Abhidhammāpathān‘. Date(s): unknown. Creator(s): Anonymous. Description: elucidation of the Abhidharma; ’Abhidhammā. Medium of original material: parabaik (accordion-folded paper manuscripts). Language: Pa’O.

              ","EAP104/1/7","1 file containing 140 TIFF images","Manuscript","File","English","Myanmar (burmese)","1895-1986","Access is for research purposes only."
"8","Lokuttarāpātvam bodhipakkhiya 37 [1936 (1298 Burmese Era)]","

        Digital images of Lokuttarāpātvam bodhipakkhiya 37. Date(s): 1936 (1298 Burmese Era). Creator(s): Anonymous. Description: elucidation of the Abhidharma; ’Abhidhammā. Medium of original material: parabaik (accordion-folded paper manuscripts). Language: Pa’O.

              ","EAP104/1/8","1 file containing 145 TIFF images","Manuscript","File","English","Myanmar (burmese)","1936","Access is for research purposes only."
"9","’Abhidhammā satta sāra kyam [1958 (1320 Burmese Era)]","

        Digital images of ’Abhidhammā satta sāra kyam. Date(s): 1958 (1320 Burmese Era). Creator(s): Anonymous. Description: elucidation of the Abhidharma; ’Abhidhammā. Medium of original material: parabaik (accordion-folded paper manuscripts). Language: Pa’O.

              ","EAP104/1/9","1 file containing 125 TIFF images","Manuscript","File","English","Myanmar (burmese)","1958","Access is for research purposes only."
"10","’Abhidhammākyampoń‘ kammathān‘ [1935 (1297 Burmese Era)]","

        Digital images of ’Abhidhammākyampoń‘ kammathān‘. Date(s): 1935 (1297 Burmese Era). Creator(s): Anonymous. Description: elucidation of the Abhidharma; ’Abhidhammā. Medium of original material: parabaik (accordion-folded paper manuscripts). Language: Pa’O.

              ","EAP104/1/10","1 file containing 141 TIFF images","Manuscript","File","English","Myanmar (burmese)","1935","Access is for research purposes only."
