"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"1","[Dali shi Xiaguan dongjing yinyue xiehui changyong yuepu xuan][Dali shi Xiaguan dongjing yinyue xiehui changyong yuepu xuan]","

        Digital copy of a mimeograph print of music scores frequently played by the Xiaguan dongjing society. The original document was written in 1995 by Ma Zhiqin, Sun Guorui and Li Junzhong.

                  
            
              
              View images from this file (31)
            
          
              ","EAP209/1/1","16 TIFF images","Score","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"2","[Meng he Zhang da xian xu][Meng he Zhang da xian xu]","

        Digital copy of a biography of the Sacred Zhang. The author of the original manuscript is unknown, but it was copied by Yang Min using black ink. The date of the original manuscript is unknown.

                  
            
              
              View images from this file (105)
            
          
              ","EAP209/1/2","105 TIFF images","Manuscript","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"3","[San yi za yue shang][San yi za yue shang]","

        Digital image of dongjing music circulating in the Three-Yi region (volume I). The author of the original music is believed to be Li Hao who lived during Emperor Hongwu’s reign in the early Ming dynasty. The exact date when the original manuscript was copied is unknown.

                  
            
              
              View images from this file (34)
            
          
              ","EAP209/1/3","34 TIFF images","Manuscript","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"4","[San yuan jing she jing pu]","

        Digital image of music scores used by the Sanyuan dongjing association. The author is unknown. The manuscript is written in black ink. It might be a late copy of an earlier text. The date of the original manuscript is unknown.

                  
            
              
              View images from this file (68)
            
          
              ","EAP209/1/5","68 TIFF images","Manuscript","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"5","[San yi za yue xia][San yi za yue xia]","

        Digital image of dongjing music circulating in the Three-Yi region (volume II). The document is written in black ink. The author of the original manuscript is believed to be Li Hao who lived during Emperor Hongwu’s reign in the early Ming dynasty. The exact date when the original manuscript was copied is unknown.

                  
            
              
              View images from this file (57)
            
          
              ","EAP209/1/4","57 TIFF images","Manuscript","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"6","[Tai shang yu qing wuji zong zhen Wenchang da dongjing quan pu]","

        Digital image of a mimeograph print of dongjing music scores. The author is believed to be Ku zhu Daren. This copy dates from 1988, but the date of the original is 1949.

                  
            
              
              View images from this file (230)
            
          
              ","EAP209/1/6","230 TIFF images","Score","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"7","[Dongjing yinyue]","

        Digital image of a mimeograph print of dongjing music. It was edited by the Nanyang dongjing society. The original author and date are unknown.

                  
            
              
              View images from this file (30)
            
          
              ","EAP209/1/7","30 TIFF images","Score","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"8","[Dali shi Xiaguan dongjing yinyue hui zhi di er ce]","

        Digital image of a mimeograph print of the gazette of the Dali dongjing society (volume II) dated 1999. The author is Ma Xiuqin.

                  
            
              
              View images from this file (18)
            
          
              ","EAP209/1/8","18 TIFF images","Newspaper","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"9","[Tan ji qu pu]","

        Digital image of music scores for ritual occasions. The manuscript is written in black ink, in Li Chun’s handwriting. The original author and date are unknown.

                  
            
              
              View images from this file (32)
            
          
              ","EAP209/1/9","30 TIFF images","Manuscript","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"10","[San dong tan jing yi pu][San dong tan jing yi pu]","

        Digital image of dongjing music scores. The manuscript is written in black ink. The original author and date are unknown.

                  
            
              
              View images from this file (38)
            
          
              ","EAP209/1/10","38 TIFF images","Manuscript","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"11","[Dongjing pu][Dongjing pu]","

        Digital image of dongjing music scores. The manuscript is written in black ink. The author is unknown but it was copied by Yang Xueliang in 1990. The date of the original manuscript is unknown.

                  
            
              
              View images from this file (106)
            
          
              ","EAP209/1/11","106 TIFF images","Manuscript","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"12","[San dong tan jing jiu tian xuan ji yu pu][San dong tan jing jiu tian xuan ji yu pu]","

        Digital image of dongjing music scores. The manuscript is written in black ink, in Li Chun’s handwriting. The author and date of the original document is unknown.

                  
            
              
              View images from this file (73)
            
          
              ","EAP209/1/12","74 TIFF images","Manuscript","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"13","[Dali dongjing gu yue][Dali dongjing gu yue]","

        Digital image of a mimeograph print of a list of ancient dongjing music written by Yang Zhen in 1999.

                  
            
              
              View images from this file (5)
            
          
              ","EAP209/1/13","5 TIFF images","Score","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"14","[Meng Duan yue pu bu yi][Meng Duan yue pu bu yi]","

        Digital image of supplementary material to royal music dating back to Meng’s and Duan’s reign in Dali. The manuscript is written in black ink, in Li Chun’s handwriting. The original author of the manuscript is unknown, but it is attributed to Duan Sengnu.

                  
            
              
              View images from this file (68)
            
          
              ","EAP209/1/14","68 TIFF images","Manuscript","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"15","[Li dai dong jing kai tan zhu chan fa shi ji][Li dai dong jing kai tan zhu chan fa shi ji]","

        Digital image of a collection of historical rules for opening dongjing activities. The manuscript is written in black ink. The original author and date are unknown.

                  
            
              
              View images from this file (139)
            
          
              ","EAP209/1/15","139 TIFF images","Manuscript","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"16","[Tai shang su ling dong xuan da you miao tan jing yi pu]","

        Digital image of dongjing music scores. The manuscript is written in black ink. The original author and date are unknown.

                  
            
              
              View images from this file (43)
            
          
              ","EAP209/1/16","43 TIFF images","Manuscript","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"17","[Dong jing da ji]","

        Digital image of lyrics used in dongjing performance. The manuscript is written in black ink. The original author and date are unknown.

                  
            
              
              View images from this file (103)
            
          
              ","EAP209/1/17","103 TIFF images","Manuscript","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"18","[San dong tan jing zhong juan]","

        Digital image of dongjing music scores (volume II). The manuscript is written in black ink. The original author and date are unknown.

                  
            
              
              View images from this file (28)
            
          
              ","EAP209/1/18","31 TIFF images","Manuscript","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"19","[Tan jing Wenchang da dong xian jing li]","

        Digital image of a guidebook for conducting dongjing rituals. The manuscript is written in black ink. The original author is unknown, but it was copied by Yang Xueliang. The original date is unknown.

                  
            
              
              View images from this file (116)
            
          
              ","EAP209/1/19","116 TIFF images","Manuscript","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"20","[Qing wen shi ji shi xu tai shang yu qing wuji zong zhen][Qing wen shi ji shi xu tai shang yu qing wuji zong zhen]","

        Digital image of a guidebook for conducting dongjing rituals. The manuscript is written in black ink. The original author and date are unknown.

                  
            
              
              View images from this file (63)
            
          
              ","EAP209/1/20","63 TIFF images","Manuscript","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
"21","[Wenchang da dongjing tan jing juan zhong]","

        Digital image of lyrics used in dongjing performance (volume II). The manuscript is written in black ink by Yang Min. The date and author of the original text are unknown.

                  
            
              
              View images from this file (201)
            
          
              ","EAP209/1/21","201 TIFF images","Manuscript","File","Chinese","""Han (hanzi, Kanji, Hanja) "", Han (Hanzi, Kanji, Hanja)","20th century","Access is for research purposes only"
