"","Page Title","Description","Reference","Extent","Content Type","Level","Creation date","Legal","ImgSrc"
"1","Actors and actresses [1930s-1950s]","        Images of theatre actors and actresses as well as of theatrical plays taken in Ulaanbaatar.                                                          View images from this file (176)                                    ","EAP264/1/1/1","176 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Theatre [1930s-1950s]","        Images of theatrical plays and acts taken in Ulaanbaatar.                                                          View images from this file (278)                                    ","EAP264/1/1/2","279 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","Circus [1930s-1950s]","        Images of circus acts and performers taken in Ulaanbaatar.                                                          View images from this file (105)                                    ","EAP264/1/1/3","105 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_1_3/1.jp2/full/!600,300/0/default.jpg"
"4","Museum [1930s-1950s]","        Images of museum exhibits, staff and visitors taken in Ulaanbaatar.                                                          View images from this file (268)                                    ","EAP264/1/1/4","269 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_1_4/1.jp2/full/!600,300/0/default.jpg"
"5","Movies [1930s-1940s]","        Images of movie making, carnival shows, and radio broadcasting.                                                          View images from this file (62)                                    ","EAP264/1/1/5","62 TIFF images","Photograph","File","1930s-1940s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_1_5/1.jp2/full/!600,300/0/default.jpg"
"6","Fine arts and writers [1930s-1950s]","        Images related to fine arts, sculpture as well as to writer Natsagdorj (founder of contemporary Mongolian literature).                                                          View images from this file (87)                                    ","EAP264/1/1/6","87 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_1_6/1.jp2/full/!600,300/0/default.jpg"
"7","Printed materials [1930s-1950s]","        Images of posters, postage stamps, newspapers and books.                                                          View images from this file (96)                                    ","EAP264/1/1/7","96 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_1_7/1.jp2/full/!600,300/0/default.jpg"
"8","Folk musical instruments [1930s-1950s]","        Images of folk musical instrument players and of musical instruments.                                                          View images from this file (47)                                    ","EAP264/1/1/8","47 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_1_8/1.jp2/full/!600,300/0/default.jpg"
"9","""Box 118, Images of PM Choibalsan taken between 1940 and 1948 [1940s]""","        Images of PM Choibalsan taken between 1940 and 1948.                                                          View images from this file (111)                                    ","EAP264/1/2/1","111 TIFF images","Photograph","File","1940s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_2_1/1.jp2/full/!600,300/0/default.jpg"
"10","""Box 124, Portrait photographs of PM Choibalsan [1930s-1950s]""","        Portrait photographs of PM Choibalsan.                                                          View images from this file (87)                                    ","EAP264/1/2/2","87 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_2_2/1.jp2/full/!600,300/0/default.jpg"
"11","""Box 128, PM Choibalsan’s family images [1940s-1950s]""","        PM Choibalsan’s family images.                                                          View images from this file (48)                                    ","EAP264/1/2/3","48 TIFF images","Photograph","File","1940s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_2_3/1.jp2/full/!600,300/0/default.jpg"
"12","""Box 131, Images of PM Choibalsan [1930s-1950s]""","        Images of PM Choibalsan.                                                          View images from this file (90)                                    ","EAP264/1/2/4","90 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_2_4/1.jp2/full/!600,300/0/default.jpg"
"13","""Box 133, Images of PM Choibalsan while in his office, at meetings and ceremonies [1930s-1950s]""","        Images of PM Choibalsan while in his office, at meetings and ceremonies.                                                          View images from this file (185)                                    ","EAP264/1/2/5","185 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_2_5/1.jp2/full/!600,300/0/default.jpg"
"14","""Box 135, Images of PM Choibalsan taken while in his office, at meetings, and ceremonies [1940s-1950s]""","        Images of PM Choibalsan taken while in his office, at meetings, and ceremonies.                                                          View images from this file (129)                                    ","EAP264/1/2/6","129 TIFF images","Photograph","File","1940s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_2_6/1.jp2/full/!600,300/0/default.jpg"
"15","""Box 138, Images of PM Choibalsan taken while in his office, at meetings and attending ceremonies [1940s-1950s]""","        Images of PM Choibalsan taken while in his office, at meetings and attending ceremonies.                                                          View images from this file (70)                                    ","EAP264/1/2/7","70 TIFF images","Photograph","File","1940s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_2_7/1.jp2/full/!600,300/0/default.jpg"
"16","""Box 142, Images of PM Choibalsan taken while in office, at meetings and ceremonies [1940s-1950s]""","        Images of PM Choibalsan taken while in office, at meetings and ceremonies.                                                          View images from this file (109)                                    ","EAP264/1/2/8","109 TIFF images","Photograph","File","1940s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_2_8/1.jp2/full/!600,300/0/default.jpg"
"17","""Box 145, Images of PM Choibalsan in his young ages [1910s-1930s]""","        Images of PM Choibalsan in his young ages.                                                          View images from this file (55)                                    ","EAP264/1/2/9","54 TIFF images","Photograph","File","1910-1939","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_2_9/1.jp2/full/!600,300/0/default.jpg"
"18","""Box 149, Images of PM Choibalsan taken on different occasions [1940s-1950s]""","        Images of PM Choibalsan taken on different occasions.                                                          View images from this file (277)                                    ","EAP264/1/2/10","278 TIFF images","Photograph","File","1940s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_2_10/1.jp2/full/!600,300/0/default.jpg"
"19","""Box 151, Images of PM Choibalsan’s funeral taken in Ulaanbaatar [1952]""","        Images of PM Choibalsan’s funeral taken in Ulaanbaatar.                                                          View images from this file (41)                                    ","EAP264/1/2/11","41 TIFF images","Photograph","File","1952","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_2_11/1.jp2/full/!600,300/0/default.jpg"
