"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"1","Various astrological texts","

        Various astrological texts: ngó sá áhláp, sherbá ngâk shang sá tsu, chotshât ngâk shang sá tsu, rá cen ngâk shang sá tsu and suknyi ngâk shang sá tsu. ms handmade, oblong bookform, one quire with separate brown paper cover, stitched; handmade paper; text in black ink; scribe Rápdenshíng Foning, p. 21 ms signed in Lepcha ʔár faying rumsang mú [R. Foning Rumsangmú], further notes in black ink on cover and throughout ms give name of Rápdenshíng Foning Rumsangmú from Kalimpong, i.e. on cover in Lepcha rápdenshíng farumsangmú kálenpang, ʔár. dri. ʔesa. fanyung, in English R.D.S. Foning, in Lepcha ca ca cút, p. 1 notes in Lepcha sing foning, in English Kalimpong Darjeeling, in Lepcha rápdyen shíng fanyung, rápden shíng, p. 2 notes in Lepcha rápdenshíng fanyung rumsangmú kálen pang, in English R.D.S. Foning, in Lepcha ʔár. dri. ʔesa. fonyung, p. 16 in Lepcha ráp rápdenshíng; condition good, some rust marks from a staple; throughout ms pages are stamped with ink stamp COPIED, p. 12 written note in margin Copied., 187x77 mm, 24 pages. Creator: Rápdenshíng Foning. Date: unknown.

                  
            
              
              View images from this file (15)
            
          
              ","EAP281/1/1","15 TIFF images","Manuscript","File","Lepcha","Lepcha","1894-1963","Access is for research purposes only."
"2","Various astrological texts [May 1930]","

        Various astrological texts: sherbá ngâk shang sá tsu, nákpú, chotshât ngâk shang sá tsu, rá cen ngâk shang sá tsu, suknyi ngâk shang sá tsu, lómbá tân ngâk shang sá tsu and ngó hláp sá tsu. Ms handmade, oblong bookform, one quire, stitched; machinemade paper; text in black and blue ink; scribe Rápdenshíng Foning, p. 20 ms signed in Lepcha 5.5.30 rápden síng fanyung rumsangmú kálenpang [5 May 1930 Rápdensíng Foning Rumsangmú, Kalimpong], cover notes give title, name of scribe and date in Lepcha sherbá tsu ngâk shing ʔan ngó hlápshing sa chó gum yang shu ma ʔo, rápdensing fanyum rumsangmú kálenpang, in English 1st May 1930; condition good; throughout ms pages are stamped with ink stamp COPIED, some text fragments underlined, note on reverse cover X N.R.

                  
            
              
              View images from this file (15)
            
          
              ","EAP281/1/2","15 TIFF images","Manuscript","File","Lepcha","Lepcha","01 May 1930","Access is for research purposes only."
"3","Encouragement of fortune","

        Encouragement of Fortune: cângbú lecot. Ms handmade, oblong bookform, two quires, stitched; machinemade paper; text in black ink, notes in pencil, blue and purple ink; scribe unknown, inside front cover in pencil ms dated according to Lepcha calendar in Lepcha cángbú lyú shet, món nám lavo glú nyóm tsha kati kakyót tháp sa ʔyák zá hlák bú chú tshât kajú sa chú tshât [cângbú lecot, the hour of the dog, Wednesday, the nineteenth day of the ninth month in the year of the boar]; condition reasonable, some pages torn at edges, some water, ink and dirt stains, abrupt text ending suggests ms is incomplete; some text fragments underlined, illustrations on front cover, front cover notes in Tibetan om mani padme hung hri.

                  
            
              
              View images from this file (26)
            
          
              ","EAP281/1/3","26 TIFF images","Manuscript","File","Lepcha","Lepcha","1894-1963","Access is for research purposes only."
"4","Various astrological texts","

        Various astrological texts: mutli dibá ngâkshang sá tsu, chotshât ngâk shang sá tsu, za khya sá tsu, dakbú sá tsu kyân, párkhó sá tsu and lávo púmtúng sá tsu. Ms handmade, 191x110 mm, 93 pages, oblong bookform, consists of separate cover and several quires, stitched; handmade paper; text in black ink, faded to brown, notes in purple ink; scribe and date unknown; condition reasonable, water, ink and dirt stains, insect attacks; orange decorations mark sentence endings in text fragments, throughout ms pages are stamped with ink stamp COPIED.

                  
            
              
              View images from this file (98)
            
          
              ","EAP281/1/4","98 TIFF images","Manuscript","File","Lepcha","Lepcha","1894-1963","Access is for research purposes only."
"5","Eight Goddess calculations [14 April 1925]","

        Eight goddesses calculations: hlámo gyá sá tsu. Ms handmade, machinemade paper, 211x112 mm, 101 pages, oblong bookform, separate cover, stitched, last page glued onto cover; machinemade paper; text in black ink; scribe unknown, p. 101 ms dated in Lepcha thón lavo tsha kati sám thák ká pe shu lyel ma ʔo, suknyi zá phúr pú sahu shotshât ká pe shu lyel ma ʔo, tarik 14-4-1925 sálká gum [written on a Thursday, the 13th day of the 3rd month, hour of the monkey, European date 14/4/1925]; condition good, edges of paper slightly worn and torn, some dirt and water stains; decorations in pink and blue pencil notes throughout text.

                  
            
              
              View images from this file (106)
            
          
              ","EAP281/1/5","106 TIFF images","Manuscript","File","Lepcha","Lepcha","14 Apr 1925","Access is for research purposes only."
"6","The legend of Cenrejú","

        The legend of Cenrejú: cenrejú sá námthár. 210 x 85 mm; 80 pages plus 7 loose pages attached; ms handmade, oblong bookform, cover wrapper made of red cloth with golden leaf print, stitched; machinemade paper; text in black ink; scribe Núrshíng Lepcha, loose page signed in Lepcha núrshíng go nun pi tho ma, nám sá sám kati fali tháp nung ká pi mo ʔo yang shu [written by me, Núrshíng, written on the thirteenth of the third year]; condition reasonable, some pages slightly torn and stained, ms incomplete; decorations in red and blue pencil throughout text.

                  
            
              
              View images from this file (57)
            
          
              ","EAP281/1/6","57 TIFF images","Manuscript","File","Lepcha","Lepcha","1894-1963","Access is for research purposes only."
"7","Parkhó calculations","

        Parkhó calculations: parkhó sa tsu. 229×92 mm; 76 pages; ms handmade, oblong bookform, stitched, hard cover in with black cloth; machinemade paper with the text Gangtok, Sikkim, The … 19 … and D.O. No. … printed on some of the pages; text in black and blue ink; scribe Núrshíng Lepcha, pp. 20, 26, 30, 35 ms signed Núrshíng Lepcha; condition good, ink and water stains, traces of mould; decorations in black ink, red and blue pencil throughout text.

                  
            
              
              View images from this file (43)
            
          
              ","EAP281/1/7","43 TIFF images","Manuscript","File","Lepcha","Lepcha","1894-1963","Access is for research purposes only."
"8","The story of Lord Tashe","

        The story of Lord Tashe: tashe sung, and The legend of Gúrú Cho-Óng: gúrú cho?óng. 165-170×215-225 mm; 316 pages; exercise book, hard cover wrapped in black cloth; machinemade paper; black and purple ink; scribe unknown, p. 3 ms dated 1892, p. 211 colophon in Lepcha; condition reasonable to poor, dirt and ink stains, pages torn at edges, loose pages, possibly incomplete; pp. 210, 214 and 230-231 marginal notes and small illustrations in pencil, throughout ms marginal notes in pencil, blue and red ink.

                  
            
              
              View images from this file (319)
            
          
              ","EAP281/1/8","321 TIFF images","Book","File","Lepcha","Lepcha","1894-1963","Access is for research purposes only."
"9","The book of Máni","

        The book of Máni: máni sa cho, Astrology: yúkcho nyókbú sá cho, The legend of the Ants: tukfyíl sá námthár, Prayers to the Chörten: chotyen munlóm, Funeral calculations: líkbá sá tsu. 291×85 mm; 151 pages; ms handmade, oblong bookform, cover wrapped in brown cloth, stitched; machinemade paper; black and red ink; scribe Núrshíng Lepcha, p. 31 and p. 141 ms signed Núrshíng Lepcha; condition good, few pages torn, some dirt, water and ink stains, slight traces of mould; p. 82 illustration of three chörtens in colour, decorations in black ink, pink and blue pencil throughout ms.

                  
            
              
              View images from this file (79)
            
          
              ","EAP281/1/9","79 TIFF images","Book","File","Lepcha","Lepcha","1894-1963","Access is for research purposes only."
"10","Astrology","

        Astrology: tsu.125×98 mm; 23 pages; ms handmade, oblong bookform, one quire, no cover, stitched; handmade paper; black ink; scribe and date unknown; condition poor, ms incomplete, dirt, water and ink stains, insect attacks, some pages damaged and torn.

                  
            
              
              View images from this file (13)
            
          
              ","EAP281/1/10","13 TIFF images","Manuscript","File","Lepcha","Lepcha","1894-1963","Access is for research purposes only."
