"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","Bharatiya samaskriti [1353 [B. S.] 1946]","        This book deals with the subject: Culture and Society. Brittle, worm eaten, loose binding. The original volume with length of 18 cm. Author: Svami Abhedananda. Publisher: Calcutta : Svami pragananda.              ","EAP341/1/1","429 Tiff images","Book","File","Bengali","Bengali","1946","Access is for research purposes only.","NA"
"2","Taruna bamla [1334 [B. S.] 1927]","        This book deals with the subject: Culture and Society. Brittle, worm eaten, hard binding. The original volume with length of 17 cm. Author: Nalinikisora Guha. Publisher: Calcutta : Arya sahitya bhaban.                                                          View images from this file (127)                                    ","EAP341/1/2","127 Tiff images","Book","File","Bengali","Bengali","1927","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","Ratnamala (vol- I) [1316 [B. S.] 1909]","        This book deals with the subject: Culture and Society. Brittle, worm eaten, loose binding. The original volume with length of 18 cm. Author: Madhusudana Bhattacaryay. Publisher: Calcutta : Metcalfe press.              ","EAP341/1/3","985 Tiff images","Book","File","Bengali","Bengali","1909","Access is for research purposes only.","NA"
"4","Srimadbhagabatsara [n. d.]","        This book deals with the subject: Religion. Very brittle, worm eaten, torn pages. The original volume with length of 21 cm. Publisher: S. l. : s. n.                                                          View images from this file (273)                                    ","EAP341/1/4","273 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_4/1.jp2/full/!600,300/0/default.jpg"
"5","Srimadbhagabata (ekadasa o dvadasa skandha) [n. d.]","        This book deals with the subject: Religion. Original material: 1 book. Brittle, worm eaten. The original volume with length of 21 cm. Publisher: S. l. : s. n.                                                          View images from this file (323)                                    ","EAP341/1/5","323 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_5/1.jp2/full/!600,300/0/default.jpg"
"6","Srimadbhagabata (prathama skandha haite ashtama skandha) [1291 [B. S.] 1884]","        This book deals with the subject: Religion. First 28 pages missing. Original material: 1 book. Brittle, worm eaten, ton pages. The original volume with length of 20 cm. Author: Maharshi Krishnadvaipayana. Publisher: Calcutta : Pratap chandra roy.              ","EAP341/1/6","827 Tiff images","Book","File","Bengali","Bengali","1884","Access is for research purposes only.","NA"
"7","Srimadbhagabata (nabama skandha haite dvadasa skandha) [1292 [B. S.] 1885]","        This book deals with the subject: Religion. Original material: 1 book. Brittle, worm eaten, ton pages. The original volume with length of 20 cm. Author: Maharshi Krishnadvaipayana. Publisher: Calcutta : Pratap chandra roy.              ","EAP341/1/7","685 Tiff images","Book","File","Bengali","Bengali","1885","Access is for research purposes only.","NA"
"8","Srimadbhagabatam (kuntira abama bhishmera staba) [1332 [B. S.] 1925]","        This book deals with the subject: Religion. Original material: 1 book. Brittle, worm eaten. The original volume with length of 21 cm. Publisher: Calcutta : Yogendranath Mukhopadhyay. Editor: Gopala Bhattacaryay.                                                          View images from this file (137)                                    ","EAP341/1/8","137 Tiff images","Book","File","Bengali","Bengali","1925","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_8/1.jp2/full/!600,300/0/default.jpg"
"9","Harilila (dashama paricheda haite unabimsha paricheda) [1298 [B. S.] 1891]","        This book deals with the subject: Religion. Original material: 1 book. Brittle, worm eaten, hard binding. The original volume with length of 17 cm. Author: Basantakumara Bhattacarya. Publisher: Calcutta : Niyogipukur street len.                                                          View images from this file (243)                                    ","EAP341/1/9","243 Tiff images","Book","File","Bengali","Bengali","1891","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_9/1.jp2/full/!600,300/0/default.jpg"
"10","Baishnabacara - paddhati [1319 [B. S.] 1912]","        This book deals with the subject: Religion. Original material: 1 book. Brittle, worm eaten, hard binding. The original volume with length of 17 cm. Author: Surendramohana Bhattacarya. Publisher: Calcutta : Satish Chandra shil.              ","EAP341/1/10","589 Tiff images","Book","File","Bengali","Bengali","1912","Access is for research purposes only.","NA"
"11","Radhakrishna - tattva [n. d.]","        This book deals with the subject: Religion. Original material: 1 book. Brittle, worm eaten. The original volume with length of 17 cm. Author: Surendramohana Bhattacarya. Publisher: S. l. : s. n.                                                          View images from this file (397)                                    ","EAP341/1/11","397 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_11/1.jp2/full/!600,300/0/default.jpg"
"12","Ratnamala (vol- I) [1316 [B. S.] 1909]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten, hard binding. The original volume with length of 17 cm. Author: Madhusudana Bhattacarya. Publisher: Calcutta : Metcalfe press.              ","EAP341/1/12","1476 Tiff images","Book","File","Bengali","Bengali","1909","Access is for research purposes only.","NA"
"13","Raja rammohana raya pranita granthabali [1795 [Shak] 1873]","        This book deals with the subject: Religion. Original material: 1 book. Brittle, worm eaten, hard binding. The original volume with length of 19 cm. Publisher: S. l. : Rajnarayan Basu . Editor: Rajnarayana Basu and Ananda chandra Bedantabagish.              ","EAP341/1/13","829 Tiff images","Book","File","Bengali","Bengali","1873","Access is for research purposes only.","NA"
"14","Srimadbhagabatsara [n. d.]","        This book deals with the subject: Religion. Original material: 1 book. Brittle, worm eaten, ton pages. The original volume with length of 18 cm. Publisher: S. l. : s. n.              ","EAP341/1/14","479 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","NA"
