"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","Sattiriya mittiran [Sep 1922]","

        

                  
            
              
              View images from this file (40)
            
          
              ","EAP372/1/1/1/1","408 TIFF images","Periodical","File","Tamil","Tamil","01 Sep 1922","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_1_1_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Sattiriya mittiran [Oct 1922]","

        

                  
            
              
              View images from this file (36)
            
          
              ","EAP372/1/1/1/2","40 TIFF images","Periodical","File","Tamil","Tamil","01 Oct 1922","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_1_1_1_2/41.jp2/full/!600,300/0/default.jpg"
"3","Sattiriya mittiran [Nov 1922]","

        

                  
            
              
              View images from this file (36)
            
          
              ","EAP372/1/1/1/3","36 TIFF images","Periodical","File","Tamil","Tamil","01 Nov 1922","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_1_1_1_3/77.jp2/full/!600,300/0/default.jpg"
"4","Sattiriya mittiran [Dec 1922]","

        

                  
            
              
              View images from this file (36)
            
          
              ","EAP372/1/1/1/4","36 TIFF images","Periodical","File","Tamil","Tamil","01 Dec 1922","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_1_1_1_4/113.jp2/full/!600,300/0/default.jpg"
"5","Sattiriya mittiran [Jan 1923]","

        

                  
            
              
              View images from this file (36)
            
          
              ","EAP372/1/1/1/5","36 TIFF images","Periodical","File","Tamil","Tamil","01 Jan 1923","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_1_1_1_5/149.jp2/full/!600,300/0/default.jpg"
"6","Sattiriya mittiran [Feb 1923]","

        

                  
            
              
              View images from this file (32)
            
          
              ","EAP372/1/1/1/6","36 TIFF images","Periodical","File","Tamil","Tamil","01 Feb 1923","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_1_1_1_6/185.jp2/full/!600,300/0/default.jpg"
"7","Sattiriya mittiran [Mar 1923]","

        

                  
            
              
              View images from this file (32)
            
          
              ","EAP372/1/1/1/7","32 TIFF images","Periodical","File","Tamil","Tamil","01 Mar 1923","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_1_1_1_7/217.jp2/full/!600,300/0/default.jpg"
"8","Sattiriya mittiran [Apr 1923]","

        

                  
            
              
              View images from this file (32)
            
          
              ","EAP372/1/1/1/8","32 TIFF images","Periodical","File","Tamil","Tamil","01 Apr 1923","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_1_1_1_8/249.jp2/full/!600,300/0/default.jpg"
"9","Sattiriya mittiran [May 1923]","

        

                  
            
              
              View images from this file (32)
            
          
              ","EAP372/1/1/1/9","32 TIFF images","Periodical","File","Tamil","Tamil","01 May 1923","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_1_1_1_9/281.jp2/full/!600,300/0/default.jpg"
"10","Sattiriya mittiran [Jun 1923]","

        

                  
            
              
              View images from this file (32)
            
          
              ","EAP372/1/1/1/10","32 TIFF images","Periodical","File","Tamil","Tamil","01 Jun 1923","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_1_1_1_10/313.jp2/full/!600,300/0/default.jpg"
"11","Sattiriya mittiran [Jul 1923]","

        

                  
            
              
              View images from this file (32)
            
          
              ","EAP372/1/1/1/11","32 TIFF images","Periodical","File","Tamil","Tamil","01 Jul 1923","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_1_1_1_11/345.jp2/full/!600,300/0/default.jpg"
"12","Sattiriya mittiran [Aug 1923]","

        

                  
            
              
              View images from this file (32)
            
          
              ","EAP372/1/1/1/12","32 TIFF images","Periodical","File","Tamil","Tamil","01 Aug 1923","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_1_1_1_12/377.jp2/full/!600,300/0/default.jpg"
"13","Sattiriya mittiran [Sep 1924]","

        

                  
            
              
              View images from this file (40)
            
          
              ","EAP372/1/1/2/1","352 TIFF images","Periodical","File","Tamil","Tamil","01 Sep 1924","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_1_1_2_1/1.jp2/full/!600,300/0/default.jpg"
"14","Sattiriya mittiran [Oct 1924]","

        

                  
            
              
              View images from this file (32)
            
          
              ","EAP372/1/1/2/2","32 TIFF images","Periodical","File","Tamil","Tamil","01 Oct 1924","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_1_1_2_2/41.jp2/full/!600,300/0/default.jpg"
