"","Page Title","Description","Reference","Extent","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","Rājaśēkhara Vilāsavu V-1","

        Biography. 1 Printed Book. Original reference number: 5.

                  
            
              
              View images from this file (130)
            
          
              ","EAP673/1/1","130 TIFF images","File","Kannada","Kannada","1890","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Śrikr̥ṣṇarāja Vāṇivilāsa Mahābhāratada Kannaḍa ṭīku Sakhāparva","

        Literature. 1 Printed Book. Original reference number: 8.

                  
            
              
              View images from this file (174)
            
          
              ","EAP673/1/2","174 TIFF images","File","Kannada","Kannada","1890","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","Śrī Kr̥ṣṇarāja Vāṇivilāsa Mahābhāratada Kannaḍa ṭīku Drōṇa Parva","

        Literature. 1 Printed Book. Original reference number: 12.

                  
            
              
              View images from this file (312)
            
          
              ","EAP673/1/3","312 TIFF images","File","Kannada","Kannada","1890","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_3/1.jp2/full/!600,300/0/default.jpg"
"4","Kr̥ṣṇarājavāṇivilāsa Mahābhāratada Kannaḍa ṭīku Śalyaparva","

        Literature. 1 Printed Book. Original reference number: 13.

                  
            
              
              View images from this file (138)
            
          
              ","EAP673/1/4","138 TIFF images","File","Kannada","Kannada","1891","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_4/1.jp2/full/!600,300/0/default.jpg"
"5","Kannaḍa Bhāratadalli Uttarāṣṭa Parvatagaḷu","

        History. 1 Printed Book. Original reference number: 22.

                  
            
              
              View images from this file (782)
            
          
              ","EAP673/1/5","782 TIFF images","File","Kannada","Kannada","1887","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_5/1.jp2/full/!600,300/0/default.jpg"
"6","Jaimini Bhārata","

        Literature. 1 Printed Book. Original reference number: 26.

                  
            
              
              View images from this file (284)
            
          
              ","EAP673/1/6","284 TIFF images","File","Kannada","Kannada","1886","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_6/1.jp2/full/!600,300/0/default.jpg"
"7","Nāgavarmana Kannaḍa Chandas'Su","

        Literature. 1 Printed Book. Original reference number: 35.

                  
            
              
              View images from this file (254)
            
          
              ","EAP673/1/7","254 TIFF images","File","Kannada","Kannada","1875","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_7/1.jp2/full/!600,300/0/default.jpg"
"8","Jānaki Pariṇaya","

        Literature. 1 Printed Book. Original reference number: 39.

                  
            
              
              View images from this file (192)
            
          
              ","EAP673/1/8","192 TIFF images","File","Kannada","Kannada","1887","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_8/1.jp2/full/!600,300/0/default.jpg"
"9","Hariścandranāṭakaṁ","

        Folk Literature. 1 Printed Book. Original reference number: 41.

                  
            
              
              View images from this file (140)
            
          
              ","EAP673/1/9","140 TIFF images","File","Kannada","Kannada","1889","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_9/1.jp2/full/!600,300/0/default.jpg"
"10","Śrīrāmābyudayā Kathākusuma Man̄Jari Kannaḍa Ānanda Rāmāyaṇa","

        Literature. 1 Printed Book. Original reference number: 55.

                  
            
              
              View images from this file (470)
            
          
              ","EAP673/1/10","470 TIFF images","File","Kannada","Kannada","1887","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_10/1.jp2/full/!600,300/0/default.jpg"
