"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","Virāṭaparva","        Manuscript is used for study, contemplation, and recitation, and is a subsection of the Mahābhārata dealing with the 13th year of exile of the Paṇḍavas. Cotton and wood pulp paper; fair condition, unbound. 10 x 43 cm; 138 folios; hardwood cover. Notes and numbers written on manuscript by modern Bengali scholars: Kra: 5620; Itihāsa: 131.                                                          View images from this file (285)                                    ","EAP683/1/1/1","286 Tiff images","NA","File","Sanskrit","Bengali","2014","Access is for research purposes only.","https://images.eap.bl.uk/EAP683/EAP683_1_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Pāṇḍavagītā","        Manuscripts is used for recitation and prayer and is a short Hindu devotional work dedicated to the praise of the five Paṇḍava brothers, protagonists of the Mahābhārata. Cotton and wood pulp paper; fair condition, unbound. 9 x 38 cm; 6 folios; hardwood and board cover. Notes and numbers written on manuscript by modern Bengali scholars: Kra: 963; Vi: 28.                                                          View images from this file (16)                                    ","EAP683/1/1/2","16 Tiff images","NA","File","Sanskrit","Bengali","2014","Access is for research purposes only.","https://images.eap.bl.uk/EAP683/EAP683_1_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","Adbhuta Rāmāyaṇaṃ","        Manuscript used for contemplation, study, and recitation, and is a selection of unusual (adbhuta) stories derived loosely from the well known epic the Rāmāyaṇa by Vālmikī. Cotton and wood pulp paper; moderate condition, unbound. 14 x 36 cm; 62 folios; hardwood covers. Notes and numbers written on manuscript by modern Bengali scholars: Kra: 953; Vi: 25; 271 Na.                                                          View images from this file (121)                                    ","EAP683/1/1/3","128 Tiff images","NA","File","Sanskrit","Bengali","2014","Access is for research purposes only.","https://images.eap.bl.uk/EAP683/EAP683_1_1_3/1.jp2/full/!600,300/0/default.jpg"
"4","Bhavānanda; Harivaṃśa","        Philosophical commentary by Bhavānanda on the Tattvacintāmaṇi by Gaṅgeśa as well as sections from the Harivaṃśa. Cotton and wood pulp paper; terrible condition; unbound. 15 x 43 cm; 100 folios; board cover. Number written on manuscript by modern Bengali scholar: 1762.                                                          View images from this file (190)                                    ","EAP683/1/1/4","201 Tiff images","NA","File","Sanskrit","Bengali","2014","Access is for research purposes only.","https://images.eap.bl.uk/EAP683/EAP683_1_1_4/1.jp2/full/!600,300/0/default.jpg"
"5","Yogaprakaraṇaṃ","        Five short selections related to the Yogaprakaraṇa, a treatise on yoga and asceticism, along with unidentified commentaries. Cotton and wood pulp paper; poor condition, unbound. 10 x 42 cm; 33 folios; board cover. Several texts comprise single manuscript bundle as originally found in a local private family library. Notes and numbers written on manuscript by modern Bengali scholars: Kra: 2142; Vi: 157.                                                          View images from this file (67)                                    ","EAP683/1/1/5","67 Tiff images","NA","File","Sanskrit","Bengali","2014","Access is for research purposes only.","https://images.eap.bl.uk/EAP683/EAP683_1_1_5/1.jp2/full/!600,300/0/default.jpg"
"6","Dolayātrā tattvam","        Treatise on festivals along with other miscellaneous texts. Cotton and wood pulp paper; fair condition, unbound. 10 x 49 cm; 5 folios. Some other secondary works included with manuscript as originally found in a local private family library. Notes and numbers written on manuscript by modern Bengali scholars: Kra: 3369; Dharma: 490.                                                          View images from this file (11)                                    ","EAP683/1/1/6","11 Tiff images","NA","File","Sanskrit","Bengali","2014","Access is for research purposes only.","https://images.eap.bl.uk/EAP683/EAP683_1_1_6/1.jp2/full/!600,300/0/default.jpg"
"7","Tīrthacintāmani","        Discussion and description of Hindu pilgrimage centers (tīrthas), especially Ganges, Purusottama, Gāya, Kāśī, and Prayāga. Gives instructions, and associated laws (dharma) on how to perform a pilgrimage, such as worship (pūjā) and fasting (upāsa). Contains table of contents at opening (f. 1r). Cotton and wood pulp paper; moderate condition, unbound. 10 x 42 cm; 42 folios; board cover. Collected for library from a private family collecton on March 22, 1937. Notes and numbers written on manuscript by modern Bengali scholars: Kra: 403; Vi: 52; Naṃ: 101(ka);705; 198.                                                          View images from this file (103)                                    ","EAP683/1/1/7","103 Tiff images","NA","File","Sanskrit","Bengali","2014","Access is for research purposes only.","https://images.eap.bl.uk/EAP683/EAP683_1_1_7/1.jp2/full/!600,300/0/default.jpg"
"8","Dolayātrā tattvam","        Manuscript is divided into three parts. Part one is kind of manual of rules (dharma) about a festival associated with the Hindu god Kṛṣṇa; Part two is a set of purifying rituals; Part 3 is an astrological almanac or personal horoscope (pañjika) for a man named Rāma Pañcanana; includes diagrams at end of the manuscript (f. 22r-23v). Cotton and wood pulp paper; fair condition, unbound. 8 x 45 cm; 26 folios; board covers. Notes and numbers written on manuscript by modern Bengali scholars: Kra: 425; Karmma: 74 Vi.                                                          View images from this file (53)                                    ","EAP683/1/1/8","53 Tiff images","NA","File","Sanskrit","Bengali","2014","Access is for research purposes only.","https://images.eap.bl.uk/EAP683/EAP683_1_1_8/1.jp2/full/!600,300/0/default.jpg"
"9","Dolayātrāviddhi; Dvadaśayātrātattva","        This is a manual of rules (dharma) about a festival associated with the Hindu god Kṛṣṇa; part two, the Dvadaśayātrātattva, names twelve different procession festivals (yātrā), celebrated across the twelve months of the year. Cotton and wood pulp paper; moderate condition, unbound. 11 x 47 cm; 2 folios; single board cover. Notes and numbers written on manuscript by modern Bengali scholars: Kra: 428: Vi: 75. Author: Raghunanda.                                                          View images from this file (7)                                    ","EAP683/1/1/9","7 Tiff images","NA","File","Sanskrit","Bengali","2014","Access is for research purposes only.","https://images.eap.bl.uk/EAP683/EAP683_1_1_9/1.jp2/full/!600,300/0/default.jpg"
"10","Yoginīsādhana","        Tantric work dedicated to ways worshiping a type or group of Hindu goddesses known as yoginīs and for achieving personal well being through performing such rites. Cotton and wood pulp paper; fair condition, unbound. 7 x 43 cm; 9 folios. Scribe: Maṇikya Rāmadeva Śarmman.                                                          View images from this file (18)                                    ","EAP683/1/1/10","18 Tiff images","NA","File","Sanskrit","Bengali","2014","Access is for research purposes only.","https://images.eap.bl.uk/EAP683/EAP683_1_1_10/1.jp2/full/!600,300/0/default.jpg"
