"","Page Title","Description","Reference","Extent","Content type","Level","Languages","Creation date","Legal","ImgSrc"
"1","R. Dasen Studio landscapes [20th century]","        This series contains one landscape photographic print. Date of original material: unknown.                                                          View images from this file (1)                                    ","EAP737/1/1","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","R. Dasen Studio portraits [20th century]","        This series contains 18 photographic prints of studio portraits.                                                          View images from this file (18)                                    ","EAP737/1/2","18 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_1_2/2.jp2/full/!600,300/0/default.jpg"
"3","Mummudi Family [20th century]","        This series contains 24 photographic prints of studio portraits. Date of original material: unknown.                                                          View images from this file (24)                                    ","EAP737/2/1","24 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_2_1/1.jp2/full/!600,300/0/default.jpg"
"4","Exterior group portrait [20th century]","        This file contains 1 Film negative.                                                          View images from this file (1)                                    ","EAP737/3/1","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_3_1/1.jp2/full/!600,300/0/default.jpg"
"5","Vasen studio portraits [20th century]","        This series contains 3 film negatives and 3 glass plates.                                                          View images from this file (6)                                    ","EAP737/3/2","6 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_3_2/1.jp2/full/!600,300/0/default.jpg"
"6","Outdoor Portraits negatives Box 1 [1952-1989]","        This series contains 42 outdoor portraits from Box 1 of the Vasen Studio Archive.                                                          View images from this file (42)                                    ","EAP737/4/1/1","42 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_1_1/1.jp2/full/!600,300/0/default.jpg"
"7","Outdoor portraits negatives Box 2 [1950s]","        This series contains 2 outdoor portraits from Box 2 of the Vasen Studio Archive.                                                          View images from this file (2)                                    ","EAP737/4/1/2","2 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_1_2/38.jp2/full/!600,300/0/default.jpg"
"8","Outdoor portraits negatives Box-3 [20th century]","        This series contains 1 outdoor portrait from Box 3 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/1/3","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_1_3/25.jp2/full/!600,300/0/default.jpg"
"9","Outdoor portraits negatives Box-4 [1970]","        This series contains 1 outdoor portraits from Box 4 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/1/4","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_1_4/5.jp2/full/!600,300/0/default.jpg"
"10","Outdoor portraits negatives Box-7 [1954-1955]","        This series contains 2 outdoor portraits from Box 7 of the Vasen Studio Archive.                                                          View images from this file (2)                                    ","EAP737/4/1/5","2 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_1_5/4.jp2/full/!600,300/0/default.jpg"
"11","Outdoor portraits negatives Box-24 [1960]","        This series contains 1 outdoor portrait from Box 24 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/1/6","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_1_6/16.jp2/full/!600,300/0/default.jpg"
"12","Outdoor portraits negatives Box-30 [1959]","        This series contains 2 outdoor portraits from Box 30 of the Vasen Studio Archive.                                                          View images from this file (2)                                    ","EAP737/4/1/7","2 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_1_7/24.jp2/full/!600,300/0/default.jpg"
"13","Outdoor portraits negatives Box-31 [1954-1958]","        This series contains 6 outdoor portraits from Box 31 of the Vasen Studio Archive.                                                          View images from this file (6)                                    ","EAP737/4/1/8","6 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_1_8/2.jp2/full/!600,300/0/default.jpg"
"14","Outdoor portrait photo prints [20th century]","        This file contains 2 outdoor portraits from Photo prints of the Vasen Studio Archive.                                                          View images from this file (2)                                    ","EAP737/4/1/9","2 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_1_9/30.jp2/full/!600,300/0/default.jpg"
"15","Miscellaneous Negatives Box 1 [1965-1993]","        This file contains 26 miscellaneous photographs from Box 1 of the Vasen Studio Archive.                                                          View images from this file (26)                                    ","EAP737/4/2/1","26 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_1/7.jp2/full/!600,300/0/default.jpg"
"16","Miscellaneous Negatives Box 2 [20th century]","        This file contains 2 miscellaneous photographs from Box 2 of the Vasen Studio Archive.                                                          View images from this file (2)                                    ","EAP737/4/2/2","2 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_2/23.jp2/full/!600,300/0/default.jpg"
"17","Miscellaneous Negatives Box 12 [1976-1979]","        This file contains 2 miscellaneous photographs from Box 12 of the Vasen Studio Archive.                                                          View images from this file (2)                                    ","EAP737/4/2/3","2 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_3/1.jp2/full/!600,300/0/default.jpg"
"18","Miscellaneous Negatives Box 14 [20th century]","        This file contains 1 miscellaneous photograps from Box 14 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/2/4","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_4/3.jp2/full/!600,300/0/default.jpg"
"19","Miscellaneous Negatives Box 17 [1947]","        This file contains 1 miscellaneous photograph from Box 17 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/2/5","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_5/2.jp2/full/!600,300/0/default.jpg"
"20","Miscellaneous Negatives Box 18 [1959-1960]","        This file contains 1 miscellaneous photograph from Box 18 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/2/6","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_6/1.jp2/full/!600,300/0/default.jpg"
"21","Miscellaneous Negatives Box 20 [20th century]","        This file contains 1 miscellaneous photograph from Box 20 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/2/7","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_7/9.jp2/full/!600,300/0/default.jpg"
"22","Miscellaneous Negatives Box 23 [20th century]","        This file contains 1 miscellaneous photograph from Box 23 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/2/8","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_8/11.jp2/full/!600,300/0/default.jpg"
"23","Miscellaneous Negatives Box 25 [1969-1970]","        This file contains 1 miscellaneous photograph from Box 25 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/2/9","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_9/18.jp2/full/!600,300/0/default.jpg"
"24","Miscellaneous Negatives Box 27 [20th century]","        This file contains 1 miscellaneous photograph from Box 27 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/2/10","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_10/10.jp2/full/!600,300/0/default.jpg"
"25","Miscellaneous Negatives Box 29 [20th century]","        This series contains 1 miscellaneous photograph from Box 1 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/2/11","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_11/10.jp2/full/!600,300/0/default.jpg"
"26","Miscellaneous Negatives Box 30 [20th century]","        This series contains 29 miscellaneous photograph from Box 30 of the Vasen Studio Archive.                                                          View images from this file (29)                                    ","EAP737/4/2/12","29 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_12/1.jp2/full/!600,300/0/default.jpg"
"27","Miscellaneous Photo prints [20th century]","        This file contains 10 miscellaneous photo prints of the Vasen Studio Archive.                                                          View images from this file (10)                                    ","EAP737/4/2/13","10 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_2_13/1.jp2/full/!600,300/0/default.jpg"
"28","Events Negatives Box 1 [1958-1989]","        This file contain 141 event photographs from box 1 of the Vasen Studio archive.                                                          View images from this file (141)                                    ","EAP737/4/3/1","141 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_3_1/10.jp2/full/!600,300/0/default.jpg"
"29","Events Negatives Box 2 [1952]","        This file contain 1 event photograph from box 2 of the Vasen Studio archive.                                                          View images from this file (1)                                    ","EAP737/4/3/2","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_3_2/7.jp2/full/!600,300/0/default.jpg"
"30","Events Negatives Box 3 [1952-1967]","        This file contain 3 event photographs from box 3 of the Vasen Studio archive.                                                          View images from this file (3)                                    ","EAP737/4/3/3","3 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_3_3/2.jp2/full/!600,300/0/default.jpg"
"31","Events Negatives Box 12 [1962-1989]","        This file contains 23 event photographs from box 12 of the Vasen Studio archive.                                                          View images from this file (23)                                    ","EAP737/4/3/4","23 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_3_4/2.jp2/full/!600,300/0/default.jpg"
"32","Events Negatives Box 17 [1954-1955]","        This file contains 1 event photograph from box 17 of the Vasen Studio archive.                                                          View images from this file (1)                                    ","EAP737/4/3/5","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_3_5/8.jp2/full/!600,300/0/default.jpg"
"33","Events Negatives Box 20 [1959]","        This file contains 1 event photograph from box 20 of the Vasen Studio archive.                                                          View images from this file (1)                                    ","EAP737/4/3/6","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_3_6/12.jp2/full/!600,300/0/default.jpg"
"34","Events Negatives Box 28 [1954-1961]","        This file contains 2 event photographs from box 28 of the Vasen Studio archive.                                                          View images from this file (2)                                    ","EAP737/4/3/7","2 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_3_7/4.jp2/full/!600,300/0/default.jpg"
